Date,Close,High,Low,Open,Volume,"('Close', 'BTC-JPY')","('High', 'BTC-JPY')","('Low', 'BTC-JPY')","('Open', 'BTC-JPY')","('Volume', 'BTC-JPY')"
2015-04-06,30523.62890625,31185.37890625,30360.61328125,30986.69140625,2393485874.0,,,,,
2015-04-07,30449.95703125,30571.25390625,30166.240234375,30497.5859375,2221074198.0,,,,,
2015-04-08,29424.69140625,30410.87109375,29330.220703125,30436.005859375,3613075776.0,,,,,
2015-04-09,29372.705078125,29612.91796875,28795.03125,29392.1484375,2608907490.0,,,,,
2015-04-10,28378.216796875,29382.185546875,27990.712890625,29374.875,3471905220.0,,,,,
2015-04-11,28435.916015625,28794.7421875,28150.177734375,28371.484375,1967260692.0,,,,,
2015-04-12,28383.228515625,28577.283203125,28066.09765625,28433.873046875,1488901701.0,,,,,
2015-04-13,26959.423828125,28536.451171875,26663.939453125,28358.830078125,3743063272.0,,,,,
2015-04-14,26176.349609375,26958.873046875,25818.150390625,26980.0703125,3788517360.0,,,,,
2015-04-15,26667.462890625,26667.462890625,26139.48828125,26166.078125,2688036680.0,,,,,
2015-04-16,27211.615234375,27337.857421875,26661.798828125,26677.47265625,2953082870.0,,,,,
2015-04-17,26500.669921875,27210.056640625,26422.1953125,27211.853515625,2429103220.0,,,,,
2015-04-18,26557.029296875,26671.171875,26262.158203125,26497.220703125,1538447100.0,,,,,
2015-04-19,26449.33203125,26913.37109375,26460.1640625,26568.91796875,1784854630.0,,,,,
2015-04-20,26777.666015625,26951.61328125,26381.966796875,26450.7578125,2189255887.0,,,,,
2015-04-21,28149.935546875,28149.935546875,26801.7265625,26776.94921875,2988617700.0,,,,,
2015-04-22,28080.04296875,28511.013671875,28000.77734375,28189.779296875,2859601689.0,,,,,
2015-04-23,28271.396484375,28277.681640625,27920.916015625,28065.294921875,2036824160.0,,,,,
2015-04-24,27513.955078125,28259.71484375,27350.529296875,28212.57421875,2551751839.0,,,,,
2015-04-25,26933.619140625,27667.783203125,26927.314453125,27510.02734375,1660488084.0,,,,,
2015-04-26,26094.615234375,26999.52734375,25563.55859375,26935.998046875,3441984804.0,,,,,
2015-04-27,27312.546875,27779.625,26034.125,26094.49609375,4594934880.0,,,,,
2015-04-28,26838.349609375,27328.263671875,26545.2109375,27274.787109375,2551185036.0,,,,,
2015-04-29,26866.634765625,26970.080078125,26621.68359375,26806.978515625,2253064770.0,,,,,
2015-04-30,28212.244140625,28601.427734375,26749.41796875,26852.953125,4040308142.0,,,,,
2015-05-01,27886.611328125,28632.90625,27886.611328125,28187.630859375,2260846448.0,,,,,
2015-05-02,28229.1875,28324.95703125,27918.095703125,27918.095703125,1506265680.0,,,,,
2015-05-03,28874.20703125,29227.71875,28127.412109375,28223.181640625,2221696233.0,,,,,
2015-05-04,28703.671875,29155.3828125,28594.2734375,28873.966796875,2548718106.0,,,,,
2015-05-05,28317.9921875,28728.400390625,27906.814453125,28683.736328125,2869816963.0,,,,,
2015-05-06,27431.375,28355.5625,27379.3515625,28333.341796875,3532119936.0,,,,,
2015-05-07,28408.87890625,28647.169921875,27312.1875,27417.05078125,3479008680.0,,,,,
2015-05-08,29212.349609375,29491.4296875,28324.52734375,28393.318359375,3287696445.0,,,,,
2015-05-09,28969.0546875,29684.44140625,28706.357421875,29201.087890625,2370703995.0,,,,,
2015-05-10,28787.4609375,29236.904296875,28611.720703125,28956.716796875,1799288180.0,,,,,
2015-05-11,29085.59765625,29319.728515625,28705.970703125,28787.8203125,2509374153.0,,,,,
2015-05-12,28890.0390625,29167.578125,28847.89453125,29084.037109375,2310441132.0,,,,,
2015-05-13,28171.41015625,29066.576171875,28003.26171875,28924.30859375,3239324318.0,,,,,
2015-05-14,28244.306640625,28343.26171875,27890.232421875,28151.984375,2910357177.0,,,,,
2015-05-15,28339.1484375,28473.68359375,28242.5390625,28247.40625,1947607538.0,,,,,
2015-05-16,28165.96875,28350.12109375,28063.634765625,28343.798828125,1322668519.0,,,,,
2015-05-17,28257.58203125,28389.240234375,28148.912109375,28148.912109375,1328656019.0,,,,,
2015-05-18,27954.37890625,28382.177734375,27890.55078125,28267.724609375,2012125773.0,,,,,
2015-05-19,27979.767578125,28091.095703125,27973.357421875,27943.466796875,1718000397.0,,,,,
2015-05-20,28365.322265625,28474.087890625,28057.517578125,27972.890625,1878682274.0,,,,,
2015-05-21,28488.390625,28604.181640625,28317.419921875,28365.080078125,1828932345.0,,,,,
2015-05-22,29202.283203125,29292.19140625,28435.20703125,28485.607421875,3280864500.0,,,,,
2015-05-23,29022.947265625,29284.537109375,29000.955078125,29194.748046875,1774507500.0,,,,,
2015-05-24,29290.24609375,29400.326171875,29015.537109375,29035.583984375,1398912480.0,,,,,
2015-05-25,28844.431640625,29303.33203125,28760.859375,29287.0859375,1754667435.0,,,,,
2015-05-26,29155.783203125,29206.087890625,28893.482421875,28843.701171875,2019618000.0,,,,,
2015-05-27,29354.28125,29361.7734375,29314.67578125,29149.513671875,2330325270.0,,,,,
2015-05-28,29386.36328125,29487.798828125,29318.814453125,29351.064453125,1711827888.0,,,,,
2015-05-29,29425.984375,29393.34765625,29178.783203125,29382.525390625,1837448550.0,,,,,
2015-05-30,28960.447265625,29425.61328125,28799.23046875,29425.48828125,1749777246.0,,,,,
2015-05-31,28596.50390625,28948.90625,28499.935546875,28934.384765625,1830007284.0,,,,,
2015-06-01,27830.08203125,28750.94921875,27602.25,28601.845703125,3257138020.0,,,,,
2015-06-02,28008.603515625,28100.490234375,27720.080078125,27826.0859375,2537734360.0,,,,,
2015-06-03,28076.13671875,28252.673828125,27798.669921875,28000.29296875,2206623320.0,,,,,
2015-06-04,27903.662109375,28241.0546875,27881.279296875,28063.4609375,1832028359.0,,,,,
2015-06-05,28256.220703125,28358.984375,27834.884765625,27882.517578125,2268076965.0,,,,,
2015-06-06,28340.00390625,28352.5625,28184.24609375,28262.87890625,1398227715.0,,,,,
2015-06-07,27991.625,28412.228515625,27949.50390625,28337.11328125,1672657856.0,,,,,
2015-06-08,28456.01953125,28547.6171875,27972.98046875,27991.373046875,2911545936.0,,,,,
2015-06-09,28479.828125,28721.439453125,28386.27734375,28462.12109375,3525424454.0,,,,,
2015-06-10,28113.0234375,28247.1015625,28004.1875,28473.23828125,1954222776.0,,,,,
2015-06-11,28389.240234375,28477.291015625,28142.916015625,28119.4140625,1781673440.0,,,,,
2015-06-12,28372.87890625,28500.880859375,28306.396484375,28389.240234375,1729363649.0,,,,,
2015-06-13,28671.43359375,28702.275390625,28277.638671875,28365.23046875,1641474861.0,,,,,
2015-06-14,28791.181640625,28974.431640625,28622.333984375,28676.369140625,1499812152.0,,,,,
2015-06-15,29226.326171875,29351.33984375,28787.935546875,28776.263671875,2457352261.0,,,,,
2015-06-16,30970.478515625,31062.4453125,29132.732421875,29219.16796875,5136585280.0,,,,,
2015-06-17,30801.53125,31813.8125,30412.673828125,30961.591796875,5419143904.0,,,,,
2015-06-18,30627.861328125,30926.087890625,29998.326171875,30819.322265625,3810564600.0,,,,,
2015-06-19,30000.92578125,30900.2890625,29900.4765625,30632.2890625,2939344045.0,,,,,
2015-06-20,30075.251953125,30150.8046875,29512.90234375,29991.603515625,2527583465.0,,,,,
2015-06-21,29949.005859375,30076.72265625,29666.828125,30061.515625,1301472493.0,,,,,
2015-06-22,30478.56640625,30583.04296875,29992.130859375,29952.07421875,2183254500.0,,,,,
2015-06-23,30258.50390625,30571.720703125,30121.74609375,30470.79296875,1871363582.0,,,,,
2015-06-24,29787.783203125,30239.642578125,29787.783203125,30256.767578125,2148165865.0,,,,,
2015-06-25,30007.52734375,30078.26953125,29769.205078125,29769.205078125,1993889829.0,,,,,
2015-06-26,30169.115234375,30188.3125,29940.494140625,29983.4296875,1731856475.0,,,,,
2015-06-27,31085.111328125,31128.3359375,30110.041015625,30163.54296875,2537513110.0,,,,,
2015-06-28,30526.2578125,31107.65234375,30337.8828125,31080.77734375,1855718384.0,,,,,
